技能名称,标准问题,标准问题的相似度阈值,补充用户问法（多个用##分隔）,"机器人回答(多个用""##""分隔）"
病毒介绍,冠状病毒属于什么病毒？,0.3,是蝙蝠导致的冠状病毒吗##以前的冠状病毒有哪几种##最新研究冠状病毒的宿主是什么动物,"冠状病毒属于单股正链RNA病毒。
既往已知感染人的冠状病毒有6种，即HCoV-229E、HCoV-OC43、SARSr-CoV、HCoV-NL63、HCoV-HKU1和MERSr-CoV。
此次从武汉市不明原因肺炎患者下呼吸道分离出的冠状病毒为一种属于β属的新型冠状病毒，即2019新型冠状病毒（2019-nCoV），属于第7种。目前研究显示与蝙蝠 SARS 样冠状病毒（bat-SL-CoVZC45）同源性达 85%以上。"
病毒介绍,冠状病毒的病因是什么？,0.3,冠状病毒是一种急性传染性疾病吗##冠状病毒的是由什么引起的##冠状病毒的是从哪里形成的,"新型冠状病毒肺炎是一种急性传染性疾病。
主要是由2019新型冠状病毒（2019-nCoV）感染引起。"
疫情问答,人感染新型冠状病毒后会有什么症状？,0.3,新冠病毒的表现有哪些##哪些症状属于新冠病毒的表现##预防新冠病毒需要注意的病有哪些##如何判断是否感染新冠病毒,人感染新型冠状病毒后的症状严重程度取决于病毒的类型以及人体的免疫水平，常见的有发热、咳嗽、呼吸急促或呼吸困难，更严重时会导致急性呼吸窘迫综合征、脓毒性休克等，可导致患者死亡。
疫情问答,新型冠状病毒可以在人与人之间传播吗？,0.3,新冠病毒可能发生在什么地方##新冠病毒会通过什么方式来传播,新型冠状病毒是可以在人与人之间传播的，传播通常发生在在家庭、工作场所、人群密集区域或医院等。
疫情问答,目前有针对新型冠状病毒的疫苗吗？,0.3,新冠病毒疫苗发布的时间##去哪里可以买到新冠病毒疫苗##如何获得新型冠状病毒的疫苗,目前没有针对新型冠状病毒的疫苗，新发疾病可能需要较长时间才能研发出接种的疫苗。
疫情问答,有针对新型冠状病毒的治疗方法吗？,0.3,如何治疗新型冠状病毒##新冠病毒有特效药吗,对于由新型冠状病毒感染引起的疾病，目前没有特效的治疗方法，临床治疗以对症支持治疗为主。
疫情问答,医护人员会受到新型冠状病毒的威胁吗？,0.3,医生做手术会被感染吗##医生是高危职业吗##医护人员患病几率大吗,医护人员需要与患者密切接触，更容易受到新型冠状病毒的感染威胁。因此，世界卫生组织（WHO）建议医护人员加强自身的感染预防和控制措施。严格执行标准预防原则，做好个人防护、手卫生，最大可能避免医院感染。
疫情问答,我该怎么做才能保护自己？,0.3,这几天可以出门吗##如何预防疫情##什么时候可以不戴口罩##如何在疫情期间防护自身,由于该病目前尚无有效治疗方法，预防与隔离是最有效途径，尽量减少与感染或潜在感染患者接触的机会。首先要避免前往人群密集场所，在公共场所要戴口罩。其次要注意手卫生和饮食卫生，勤洗手、多饮水、避免疲劳、保证睡眠，家庭和工作环境保持多通风。如果出现发热、咳嗽症状，要注意咳嗽礼仪，要及时就医，前往医院途中，戴口罩。
病毒介绍,新型冠状病毒的概述,0.3,什么是新冠病毒##新冠病毒的介绍,"新型冠状病毒感染所致肺炎
起初发热、乏力、干咳，逐渐出现呼吸困难等
具备人传染人的能力，正确佩戴口罩加强防护
多数预后良好，少数病情危重，甚至可致死亡"
病毒介绍,新型冠状病毒肺炎的定义,0.3,,"新型冠状病毒肺炎是一种急性感染性肺炎，其病原体是一种先前未在人类中发现的新型冠状病毒，即 2019 新型冠状病毒。2020 年 2 月 7 日，国家卫健委决定将 “新型冠状病毒感染的肺炎” 暂命名为 “新型冠状病毒肺炎”，简称“新冠肺炎”。2 月 11 日，世界卫生组织（WHO）将其英文名称为 Corona Virus Disease 2019（COVID-19）。2 月 22 日，国家卫健委决定将“新型冠状病毒肺炎” 英文名称修订为“COVID-19”，与世界卫生组织命名保持一致，中文名称保持不变。

2020 年 1 月 30 日，WHO 宣布将新型冠状病毒肺炎疫情列为国际关注的突发公共卫生事件（PHEIC）。

患者初始症状多为发热、乏力和干咳，并逐渐出现呼吸困难等严重表现。多数患者预后良好，部分严重病例可出现急性呼吸窘迫综合征或脓毒症休克，甚至死亡。目前，缺乏针对病原体的有效抗病毒药物，以隔离治疗、对症支持治疗为主。"
